,Scannumber,Timesweep,Status,I0(5.642|4.287),I1(3.256|2.402),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
151,151,2,No,31.718000000000004,54.925,-0.5396257275283327,,,,,,,,
152,152,2,No,31.523000000000003,55.067,-0.5262144296675364,,,,,,,,
153,153,2,No,31.82,55.108000000000004,-0.5394477600392504,,,,,,,,
154,154,2,No,31.444000000000003,55.388000000000005,-0.5135665964778644,,,,,,,,
155,155,2,No,31.53,54.68,-0.5373575864526356,,,,,,,,
156,156,2,No,31.381999999999998,54.864,-0.5250096111394462,,,,,,,,
157,157,2,No,31.274,54.403,-0.5326394963415071,,,,,,,,
158,158,2,No,31.068,54.656000000000006,-0.5154963065571736,,,,,,,,
159,159,2,No,31.564,55.216,-0.5240756456911024,,,,,,,,
160,160,2,No,31.487,54.526,-0.5395970681229691,,,,,,,,
161,161,2,No,31.485,54.985,-0.5266479494351848,,,,,,,,
162,162,2,No,31.721999999999998,55.19,-0.5324263011062231,,,,,,,,
163,163,2,No,31.39,54.981,-0.5221523117562825,,,,,,,,
164,164,2,No,31.33,54.824,-0.523593483680326,,,,,,,,
165,165,2,No,30.921999999999997,54.418,-0.5149713853190621,,,,,,,,
166,166,2,No,31.028000000000002,54.821999999999996,-0.5089621209660522,,,,,,,,
167,167,2,No,31.388,54.768,-0.5279748030947409,,,,,,,,
168,168,2,No,31.438000000000002,55.379,-0.5135237172100933,,,,,,,,
169,169,2,No,31.581999999999997,55.372,-0.5206485404806491,,,,,,,,
170,170,2,No,31.688000000000002,54.858999999999995,-0.5400200428881803,,,,,,,,
171,171,2,No,31.598000000000003,54.946999999999996,-0.5331866867659691,,,,,,,,
172,172,2,No,31.049,54.869,-0.5086899685028812,,,,,,,,
173,173,2,No,30.713,53.81100000000001,-0.5217054896367934,,,,,,,,
174,174,2,No,28.891,48.358999999999995,-0.5928126387396915,,,,,,,,
175,175,2,No,31.344,54.4,-0.5361546839475366,,,,,,,,
176,176,2,No,31.858,55.506,-0.5302345630932082,,,,,,,,
177,177,2,No,30.695999999999998,54.974,-0.488688654458846,,,,,,,,
178,178,2,No,32.056,54.803999999999995,-0.5594681245933171,,,,,,,,
179,179,2,No,31.543000000000003,54.788999999999994,-0.534931690052679,,,,,,,,
180,180,2,Timesweep,31.796,54.636,-0.5515758898691379,0,12.0,6,2880.0,3176.0,1.103,12.0,-2428.0
181,181,2,Timesweep,31.6,55.083,-0.5294980504785343,17,12.17,,,,,,
182,182,2,Timesweep,31.426,54.748999999999995,-0.5303555592741669,34,12.34,,,,,,
